"startDateTime","endDateTime","tempSingleMean","tempSingleMinimum","tempSingleMaximum","tempSingleVariance","tempSingleNumPts","tempSingleExpUncert","tempSingleStdErMean","finalQF"
"2015-05-01T20:00:00Z","2015-05-01T20:30:00Z",25.56702040113055574011013959534466266632,23.26517926582143758196252747438848018646,27.82913626817104812971592764370143413543,0.7991674512941618901962215204548556357622,1800,0.0435517389777554733698572420053096720948,0.0210708784198866648507131316137019894085,1
"2015-05-01T20:30:00Z","2015-05-01T21:00:00Z",24.6259561199797616382056730799376964569,22.54263970546764284108576248399913311004,26.66124224452969926346668216865509748458,0.8826782122875379554827190986543428152799,1800,0.0455944829127460996009979510290577309206,0.0221444526824256318620065542290831217542,1
"2015-05-01T21:00:00Z","2015-05-01T21:30:00Z",22.43793707724374542067380389198660850524,21.71918870564017822744062868878245353698,24.01699264393615251833580259699374437332,0.1775020938434734851796292787184938788414,1800,0.0231431445369847561821519121849632938392,0.009930371310151763983298245364039757987484,1
"2015-05-01T21:30:00Z","2015-05-01T22:00:00Z",22.02461956522293462512607220560312271118,21.35384938438339474942040396854281425476,23.04536367710043975876033073291182518005,0.1005910895123271753259786009948584251105,1800,0.0191569852491369659042153017480814014561,0.007475556074163281806976844023893136181868,1
"2015-05-01T22:00:00Z","2015-05-01T22:30:00Z",21.20726220091119884614272450562566518783,20.17325359269636564363281650003045797348,21.88334951562164931715415150392800569534,0.1498573259765620668826358041769708506762,1800,0.0217765798478905189816678955594397848471,0.009124366826633995702922064197082363534718,1
"2015-05-01T22:30:00Z","2015-05-01T23:00:00Z",20.52105568288282810840428282972425222396,20.1326418223446879096627526450902223587,20.84678599916762919974644319154322147369,0.0277260987182842075227107159207662334665,1800,0.0146241850531141342334207067210627428721,0.0039247150440286180522742043308426218573,1
"2015-05-01T23:00:00Z","2015-05-01T23:30:00Z",20.13709101699047465672265389002859592437,19.32603587784920051717563183046877384185,20.55698475832502936100354418158531188964,0.049399731102599625520710446835437323898,1800,0.0160968766128441118090641737126134103164,0.005238730290537945734341551684565274626947,1
"2015-05-01T23:30:00Z","2015-05-02T00:00:00Z",18.74281812318001527728483779355883598327,18.32238992879609185138178872875869274139,19.54647565557699806504388106986880302429,0.1105522095595496828712711590014805551618,1800,0.0196788069449016916889760864251002203673,0.007836956947677447757327762190016073873266,1
"2015-05-02T00:00:00Z","2015-05-02T00:30:00Z",17.44947936760000573030993109568953514099,16.96204452147614460955082904547452926635,18.3491447664786093696420721244066953659,0.1190446713560124741837498163476993795484,1800,0.0201323755288001608743098103104784968309,0.008132399924445306987896842088048288132995,1
"2015-05-02T00:30:00Z","2015-05-02T01:00:00Z",16.57897578015766626435834041330963373184,16.10374163367235311739023018162697553634,17.00240348542541468646049906965345144271,0.0539936613574252127767394426882674451917,1800,0.0163469832275736151605549650867033051326,0.005476904101032159521977860094921197742223,1
"2015-05-02T01:00:00Z","2015-05-02T01:30:00Z",16.34263321894125908784189959987998008728,15.82324343363301366593987040687352418899,16.78297631873752493447682354599237442016,0.0494132275779189250597411842136352788656,1800,0.0160494283514016448932704150820427457801,0.005239445877079354149663537043579708551988,1
"2015-05-02T01:30:00Z","2015-05-02T02:00:00Z",15.6497166103553926319591482752002775669,15.15085903549470458528958261013031005859,15.97091148635206714345713407965376973152,0.0331935419900398209769321056228363886475,1800,0.0149097355306454584789044304216076852753,0.004294281856275066963646303008772520115599,1
"2015-05-02T02:00:00Z","2015-05-02T02:30:00Z",15.0912486042015903109358987421728670597,14.58753484741226991161511250538751482963,15.77642989951419494332185422535985708236,0.1198444424899826332708840936902561224997,1800,0.0201485774453519402016343775585482944734,0.008159671919125678629658438012484111823141,1
"2015-05-02T02:30:00Z","2015-05-02T03:00:00Z",14.44559262074389494046045001596212387084,14.18633863461788102711125247878953814506,14.95048468550293740975121181691065430641,0.0331085399140125108408128085102362092584,1800,0.0148921075086052637215239258239307673647,0.004288779929719232532348005548783476115204,1
"2015-05-02T03:00:00Z","2015-05-02T03:30:00Z",13.94318340457722449343691550893709063529,13.53241325951520224180057994090020656585,14.27312320494888453481507895048707723617,0.0301090732004349811989918350718653528019,1800,0.014694450631264677209486535502946935594,0.004089897662427574923094120151745300972834,1
"2015-05-02T03:30:00Z","2015-05-02T04:00:00Z",13.48634111026814608180757204536348581314,12.94764641619110889791954832617193460464,13.9775605824842532598495381535030901432,0.1022080565164782683940103424902190454304,1800,0.019147801110407317720651931836073345039,0.007535400030540229457387546574409498134627,1
"2015-05-02T04:00:00Z","2015-05-02T04:30:00Z",13.30276723794182913707118132151663303375,12.94233002805846410865342477336525917053,13.68548572160230314409545826492831110954,0.0370882132175400086593342052765365224331,1800,0.0151665168158389412206288326956382661592,0.004539224922674942215572446713167664711363,1
"2015-05-02T04:30:00Z","2015-05-02T05:00:00Z",13.04285142484850013033792492933571338653,12.65783160795348827321049611782655119895,13.43062171995015319225785788148641586303,0.0322866562669094359083743484006845392286,1800,0.0148223346382475567456493692475305579137,0.004235213248396606060264257820335842552594,1
"2015-05-02T05:00:00Z","2015-05-02T05:30:00Z",13.37189035893420196998704341240227222442,12.9851968593966073939327543484978377819,13.79439622546928667645715904654935002326,0.0247111167650012793217673134904543985612,1800,0.0143320933507094586123464807769778417423,0.003705185312879571372240983251344914606306,1
"2015-05-02T05:30:00Z","2015-05-02T06:00:00Z",13.19089833756563301392361609032377600669,12.69246972552183905236233840696513652801,13.91890832357119656137456331634894013404,0.0693729407502390177375772850609791930764,1800,0.0172486408293649959300175567022961331531,0.006208101371516228095259748442913405597209,1
"2015-05-02T06:00:00Z","2015-05-02T06:30:00Z",12.80662863452850075418609776534140110015,12.38074269620111600431755505269393324851,13.33256762257547833883108978625386953353,0.058638092051481363609077845922001870349,1800,0.0165940760313546403770246229214535560458,0.005707601756112503851858797077056806301698,1
